id,name,cleanName,english_name,shortHand,country,continent,founded,image,flag_element,season,seasonClean,url,stadium_name,stadium_address,table_position,performance_rank,risk,season_format,competition_id,full_name,alt_names,official_sites.,official_sites.info@mnunitedfc.com
12,Colorado Rapids,Colorado Rapids,Colorado Rapids,colorado-rapids,USA,,1996,https://cdn.footystats.org/img/teams/usa-colorado-rapids.png,,2018,,https://footystats.org/clubs/usa/colorado-rapids,,,11,21,79,Domestic League,1076,Colorado Rapids,[],https://www.coloradorapids.com/,
13,FC Dallas,FC Dallas,FC Dallas,fc-dallas,USA,,1996,https://cdn.footystats.org/img/teams/usa-fc-dallas.png,,2018,,https://footystats.org/clubs/usa/fc-dallas,,,4,8,86,Domestic League,1076,FC Dallas,[],https://www.fcdallas.com/,
14,Real Salt Lake,Real Salt Lake,Real Salt Lake,real-salt-lake,USA,,2004,https://cdn.footystats.org/img/teams/usa-real-salt-lake.png,,2018,,https://footystats.org/clubs/usa/real-salt-lake,,,6,10,97,Domestic League,1076,Real Salt Lake,[],https://www.rsl.com/,
15,San Jose Earthquakes,SJ Earthquakes,San Jose Earthquakes,san-jose-earthquakes,USA,,1995,https://cdn.footystats.org/img/teams/usa-san-jose-earthquakes.png,,2018,,https://footystats.org/clubs/usa/san-jose-earthquakes,,,12,23,100,Domestic League,1076,San Jose Earthquakes,[],https://www.sjearthquakes.com/,
16,Philadelphia Union,Philadelphia Union,Philadelphia Union,philadelphia-union,USA,,2008,https://cdn.footystats.org/img/teams/usa-philadelphia-union.png,,2018,,https://footystats.org/clubs/usa/philadelphia-union,,,6,12,57,Domestic League,1076,Philadelphia Union,[],https://www.philadelphiaunion.com/,
17,Orlando City SC,Orlando City,Orlando City SC,orlando-city-sc,USA,,2008,https://cdn.footystats.org/img/teams/usa-orlando-city-sc.png,,2018,,https://footystats.org/clubs/usa/orlando-city-sc,,,11,22,94,Domestic League,1076,Orlando City SC,[],https://www.orlandocitysc.com/,
18,Seattle Sounders FC,Seattle Sounders,Seattle Sounders FC,seattle-sounders-fc,USA,,2007,https://cdn.footystats.org/img/teams/usa-seattle-sounders-fc.png,,2018,,https://footystats.org/clubs/usa/seattle-sounders-fc,,,2,5,61,Domestic League,1076,Seattle Sounders FC,[],https://www.soundersfc.com/,
19,Toronto FC,Toronto,Toronto FC,toronto-fc,Canada,,2006,https://cdn.footystats.org/img/teams/canada-toronto-fc.png,,2018,,https://footystats.org/clubs/canada/toronto-fc,,,9,18,91,Domestic League,1076,Toronto FC,[],https://www.torontofc.ca,
20,Portland Timbers,Portland Timbers,Portland Timbers,portland-timbers,USA,,2009,https://cdn.footystats.org/img/teams/usa-portland-timbers.png,,2018,,https://footystats.org/clubs/usa/portland-timbers,,,5,4,80,Domestic League,1076,Portland Timbers,[],https://www.timbers.com,
1015,Minnesota United FC,Minnesota United,Minnesota United FC,minnesota-united-fc,USA,,2010,https://cdn.footystats.org/img/teams/usa-minnesota-united-fc.png,,2018,,https://footystats.org/clubs/usa/minnesota-united-fc,,,10,19,112,Domestic League,1076,Minnesota United FC,[],,http://www.mnunitedfc.com
1016,Atlanta United FC,Atlanta United FC,Atlanta United FC,atlanta-united-fc,USA,,2014,https://cdn.footystats.org/img/teams/usa-atlanta-united-fc.png,,2018,,https://footystats.org/clubs/usa/atlanta-united-fc,,,2,1,92,Domestic League,1076,Atlanta United FC,[],http://www.atlutd.com/,
6490,Los Angeles FC,Los Angeles FC,Los Angeles FC,los-angeles-fc,USA,,2014,https://cdn.footystats.org/img/teams/usa-los-angeles-fc.png,,2018,,https://footystats.org/clubs/usa/los-angeles-fc,,,3,7,103,Domestic League,1076,Los Angeles FC,[],https://www.lafc.com/,
13401,DC United,DC United,DC United,dc-united,USA,,1996,https://cdn.footystats.org/img/teams/usa-dc-united.png,,2018,,https://footystats.org/clubs/usa/dc-united,,,4,11,77,Domestic League,1076,DC United,['DC United'],https://www.dcunited.com/,
