id,name,cleanName,english_name,shortHand,country,continent,founded,image,flag_element,season,seasonClean,url,stadium_name,stadium_address,table_position,performance_rank,risk,season_format,competition_id,full_name,alt_names,official_sites.,official_sites.info@mnunitedfc.com,official_sites
13,FC Dallas,FC Dallas,FC Dallas,fc-dallas,USA,,1996,https://cdn.footystats.org/img/teams/usa-fc-dallas.png,,2020,,https://footystats.org/clubs/usa/fc-dallas,,,2,13,59,Domestic League,4473,FC Dallas,[],https://www.fcdallas.com/,,
14,Real Salt Lake,Real Salt Lake,Real Salt Lake,real-salt-lake,USA,,2004,https://cdn.footystats.org/img/teams/usa-real-salt-lake.png,,2020,,https://footystats.org/clubs/usa/real-salt-lake,,,3,22,74,Domestic League,4473,Real Salt Lake,[],https://www.rsl.com/,,
15,San Jose Earthquakes,SJ Earthquakes,San Jose Earthquakes,san-jose-earthquakes,USA,,1995,https://cdn.footystats.org/img/teams/usa-san-jose-earthquakes.png,,2020,,https://footystats.org/clubs/usa/san-jose-earthquakes,,,1,14,128,Domestic League,4473,San Jose Earthquakes,[],https://www.sjearthquakes.com/,,
16,Philadelphia Union,Philadelphia Union,Philadelphia Union,philadelphia-union,USA,,2008,https://cdn.footystats.org/img/teams/usa-philadelphia-union.png,,2020,,https://footystats.org/clubs/usa/philadelphia-union,,,2,1,81,Domestic League,4473,Philadelphia Union,[],https://www.philadelphiaunion.com/,,
17,Orlando City SC,Orlando City,Orlando City SC,orlando-city-sc,USA,,2008,https://cdn.footystats.org/img/teams/usa-orlando-city-sc.png,,2020,,https://footystats.org/clubs/usa/orlando-city-sc,,,1,2,68,Domestic League,4473,Orlando City SC,[],https://www.orlandocitysc.com/,,
18,Seattle Sounders FC,Seattle Sounders,Seattle Sounders FC,seattle-sounders-fc,USA,,2007,https://cdn.footystats.org/img/teams/usa-seattle-sounders-fc.png,,2020,,https://footystats.org/clubs/usa/seattle-sounders-fc,,,2,8,100,Domestic League,4473,Seattle Sounders FC,[],https://www.soundersfc.com/,,
19,Toronto FC,Toronto,Toronto FC,toronto-fc,Canada,,2006,https://cdn.footystats.org/img/teams/canada-toronto-fc.png,,2020,,https://footystats.org/clubs/canada/toronto-fc,,,1,5,50,Domestic League,4473,Toronto FC,[],https://www.torontofc.ca,,
20,Portland Timbers,Portland Timbers,Portland Timbers,portland-timbers,USA,,2009,https://cdn.footystats.org/img/teams/usa-portland-timbers.png,,2020,,https://footystats.org/clubs/usa/portland-timbers,,,1,3,85,Domestic League,4473,Portland Timbers,[],https://www.timbers.com,,
1015,Minnesota United FC,Minnesota United,Minnesota United FC,minnesota-united-fc,USA,,2010,https://cdn.footystats.org/img/teams/usa-minnesota-united-fc.png,,2020,,https://footystats.org/clubs/usa/minnesota-united-fc,,,2,9,75,Domestic League,4473,Minnesota United FC,[],,http://www.mnunitedfc.com,
1016,Atlanta United FC,Atlanta United FC,Atlanta United FC,atlanta-united-fc,USA,,2014,https://cdn.footystats.org/img/teams/usa-atlanta-united-fc.png,,2020,,https://footystats.org/clubs/usa/atlanta-united-fc,,,4,21,57,Domestic League,4473,Atlanta United FC,[],http://www.atlutd.com/,,
6490,Los Angeles FC,Los Angeles FC,Los Angeles FC,los-angeles-fc,USA,,2014,https://cdn.footystats.org/img/teams/usa-los-angeles-fc.png,,2020,,https://footystats.org/clubs/usa/los-angeles-fc,,,2,10,108,Domestic League,4473,Los Angeles FC,[],https://www.lafc.com/,,
8043,FC Cincinnati,FC Cincinnati,FC Cincinnati,fc-cincinnati,USA,,2015,https://cdn.footystats.org/img/teams/usa-fc-cincinnati.png,,2020,,https://footystats.org/clubs/usa/fc-cincinnati,,,2,26,38,Domestic League,4473,FC Cincinnati,[],http://www.fccincinnati.com/,,
13401,DC United,DC United,DC United,dc-united,USA,,1996,https://cdn.footystats.org/img/teams/usa-dc-united.png,,2020,,https://footystats.org/clubs/usa/dc-united,,,4,25,91,Domestic League,4473,DC United,['DC United'],https://www.dcunited.com/,,
677446,Club Internacional de Fútbol Miami,Inter Miami,Club Internacional de Futbol Miami,club-internacional-de-futbol-miami,USA,,2018,https://cdn.footystats.org/img/teams/usa-club-internacional-de-futbol-miami.png,,2020,,https://footystats.org/clubs/usa/club-internacional-de-futbol-miami,,,5,19,88,Domestic League,4473,Club Internacional de Fútbol Miami,[],,,[]
677447,Nashville SC MLS,Nashville SC,Nashville SC MLS,nashville-sc-mls,USA,,2020,https://cdn.footystats.org/img/teams/usa-nashville-sc-mls.png,,2020,,https://footystats.org/clubs/usa/nashville-sc-mls,,,6,11,54,Domestic League,4473,Nashville SC MLS,[],,,[]
